"В каком максимальном радиусе от места касания земли электрическим проводом можно попасть под ""шаговое"" напряжение?";Непосредственно в месте касания земли@False;В радиусе 5 м от места касания@False;В радиусе 8 м от места касания@True;В радиусе 2 м от места касания@False
В каком случае электродвигатели должны быть немедленно отключены от питающей сети?;При появлении дыма или первых признаках появления огня@False;При поломке приводного механизма@False;При нагреве подшипников сверх установленной температуры@False;При несчастном случае с персоналом@False;В любом из перечисленных случаев@True
В каком случае элемент заземлителя должен быть заменен?;Если разрушено более 90 % его сечения@False;Если разрушено более 80 % его сечения@False;Если разрушено более 70 % его сечения@False;Если разрушено более 60 % его сечения@False;Если разрушено более 50 % его сечения@True
В течение какого срока со дня последней проверки знаний работники, получившие неудовлетворительную оценку, могут пройти повторную проверку знаний?;Не позднее 1 недели со дня последней проверки@False;Не позднее 2 недель со дня последней проверки@False;Не позднее 3 недель со дня последней проверки@False;Не позднее 1 месяца со дня последней проверки@True;Не позднее 3 месяцев со дня последней проверки@False
В течении какого времени должен обеспечиваться непосредственный контакт указателя напряжения с контролируемыми токоведущими частями при проверке отсутствия напряжения в электроустановках напряжением до 1000 В?;Не менее 1 с@False;Не менее 3 с@False;Не менее 5 с@True;Не менее 8 с@False;Не менее 10 с@False
В течении какого срока должна проводиться стажировка электротехнического персонала на рабочем месте до назначения на самостоятельную работу?;От 1 до 5 смен@False;От 2 до 4 смен@False;От 2 до 10 смен@False;От 2 до 14 смен@True;От 5 до 15 смен@False
В течении какого срока проводится дублирование перед допуском электротехнического персонала к самостоятельной работе?;От 1 до 5 смен@False;От 2 до 4 смен@False;От 2 до 12 смен@True;От 2 до 14 смен@False;От 5 до 15 смен@False
В течении какого срока проводится комплексное опробование основного и вспомогательного оборудования электроустановки перед приемкой в эксплуатацию?;В течении 24 часов@False;В течении 48 часов@False;В течении 72 часов@True;В течении 120 часов@False
В течении какого срока проводится комплексное опробование работы линии электропередачи перед приемкой в эксплуатацию?;В течении 24 часов@True;В течении 48 часов@False;В течении 72 часов@False;В течении 120 часов@False
Для чего предназначены защитные каски?;Для защиты головы работающего от механических повреждений@False;Для защиты головы работающего от воды и агрессивных жидкостей@False;Для защиты головы работающего от поражения электрическим током при случайном касании токоведущих частей, находящихся под напряжением до 1000 В@False;Для защиты от всего перечисленного@True
Для чего предназначены электроизмерительные клещи?;Для измерения тока в цепях напряжением до 10 кВ@False;Для измерения тока в электроустановках до 1000 В@False;Для измерения напряжения и мощности до 1 кВ@False;Для проведения любого из перечисленных измерений@True
За что несут персональную ответственность работники, непосредственно обслуживающие электроустановки?;За несвоевременное и неудовлетворительное техническое обслуживание электроустановок@False;За нарушения, происшедшие по их вине, а также за неправильную ликвидацию ими нарушений в работе электроустановок на обслуживаемом участке@True;За невыполнение требований должностной инструкции@False;За нарушения в эксплуатации электротехнологического оборудования@False
За что несут персональную ответственность работники, проводящие ремонт электроустановки?;За несвоевременное и неудовлетворительное техническое обслуживание электроустановок@False;За нарушения, происшедшие по их вине, а также за неправильную ликвидацию ими нарушений в работе электроустановок на обслуживаемом участке@False;За нарушения в работе, вызванные низким качеством ремонта@True;За нарушения в эксплуатации электротехнологического оборудования@False
За что отвечает наблюдающий в электроустановках?;За осуществление постоянного контроля за членами бригады@False;За качественный и количественный состав бригады@False;За правильный допуск к работе@False;За безопасность членов бригады в отношении поражения электрическим током электроустановки@True;За все перечисленное@False
Из какого материала должны изготавливаться искусственные заземлители?;Из черной или оцинкованной стали или меди@True;Из меди и алюминия@False;Из стали, меди и алюминия@False;Из оцинкованной стали и алюминия@False
"К какому виду плакатов безопасности относится плакат с надписью ""Заземлено""?";К запрещающим@False;К предупреждающим@False;К предписывающим@False;К указательным@True
"К какому виду плакатов безопасности относится плакат с надписью ""Осторожно! Электрическое напряжение""?";К запрещающим@False;К предупреждающим@True;К предписывающим@False;К указательным@False
Как делятся электроустановки по условиям электробезопасности?;Электроустановки напряжением до 1000 В и выше 1000 В@True;Электроустановки напряжением до 10 кВ и выше 10 кВ@False;Электроустановки напряжением до 380 В и выше 380 В@False;Электроустановки напряжением до 1000 В и выше 10000 В@False
Как классифицируются помещения в отношении опасности поражения людей электрическим током?;Помещения без повышенной опасности, помещения с повышенной опасностью, опасные помещения, особо опасные помещения@False;Помещения без повышенной опасности, помещения с повышенной опасностью, опасные помещения@False;Помещения без повышенной опасности, помещения с повышенной опасностью, особо опасные помещения и территория открытых электроустановок@True;Неопасные помещения, помещения с повышенной опасностью, опасные помещения, особо опасные помещения@False
Как классифицируются электроинструменты по способу защиты от поражения электрическим током?;Делятся на 4 класса - нулевой, первый, второй и третий@True;Делятся на 3 класса - первый, второй и третий@False;Делятся на 4 класса - первый, второй, третий и четвертый@False;Делятся на 3 класса - нулевой, первый и второй@False
Как обозначаются нулевые рабочие (нейтральные) проводники?;Обозначаются буквой N и зеленым цветом@False;Обозначаются буквой N и белым цветом@False;Обозначаются буквой N и голубым цветом@True;Обозначаются буквой N и желтым цветом@False
Как часто должна проводиться проверка электрических схем электроустановок на соответствие фактическим эксплуатационным?;Не реже одного раза в полгода с отметкой о проверке@False;Не реже одного раза в год с отметкой о проверке@False;Не реже одного раза в два года с отметкой о проверке@True;Не реже одного раза в три года с отметкой о проверке@False;Не реже одного раза в пять лет с отметкой о проверке@False
Как часто проводится проверка знаний по электробезопасности для электротехнического персонала?;Не реже одного раза в год@True;Не реже одного раза в полгода@False;Не реже одного раза в три года@False;Не реже одного раза в пять лет@False
Какая ответственность предусмотрена за нарушение правил и норм при эксплуатации электроустановок?;Дисциплинарная@False;Уголовная@False;Административная@False;В соответствии с действующим законодательством@True
Какая периодичность осмотра состояния средств защиты, используемых в электроустановках?;Не реже одного раза в месяц@False;Не реже одного раза в три месяца@False;Не реже одного раза в шесть месяцев@True;Не реже одного раза в год@False
Какая периодичность проверки знаний по электробезопасности установлена для персонала, обслуживающего электроустановки?;Не реже одного раза в год@True;Не реже одного раза в два года@False;Не реже одного раза в три года@False;Не реже одного раза в пять лет@False
Какая электроустановка считается действующей?;Исправная электроустановка@False;Электроустановка или ее часть, которая находится под напряжением, либо на которую напряжение может быть подано включением коммутационных аппаратов@True;Электроустановка, которая находится в постоянной эксплуатации@False;Электроустановка, которая находится под напряжением не ниже 220 В@False
Какие буквенные и цветовые обозначения должны иметь шины при переменном трехфазном токе?;Шины фазы A - желтым, фазы B - зеленым, фазы C - красным цветом@True;Шины фазы A - зеленым, фазы B - желтым, фазы C - красным цветом@False;Шины фазы A - красным, фазы B - белым, фазы C - синим цветом@False;Шины фазы A - голубым, фазы B - белым, фазы C - красным цветом@False
Какие буквенные и цветовые обозначения должны иметь шины при постоянном токе?;Положительная шина (+) - красным цветом, отрицательная (-) - синим и нулевая рабочая M - голубым цветом@True;Положительная шина (+) - зеленым цветом, отрицательная (-) - красным и нулевая рабочая M - голубым цветом@False;Положительная шина (+) - красным цветом, отрицательная (-) - синим и нулевая рабочая M - белым цветом@False;Положительная шина (+) - зеленым цветом, отрицательная (-) - синим и нулевая рабочая M - голубым цветом@False
Какие должны быть предусмотрены меры от прямого прикосновения?;Основная изоляция токоведущих частей@False;Ограждения и оболочки, установка барьеров@False;Размещение вне зоны досягаемости@False;Применение сверхнизкого (малого) напряжения@False;Любая из приведенных мер в отдельности либо в сочетании@True
Какие запрещающие плакаты вывешиваются на задвижках, закрывающих доступ воздуха в пневматические приводы разъединителей, во избежание подачи напряжения на рабочее место при проведении ремонта или планового осмотра оборудования?;Не включать! Работают люди@False;Не открывать! Работают люди@True;Работа под напряжением! Повторно не включать!@False
Какие запрещающие плакаты вывешиваются на приводах коммутационных аппаратов во избежание подачи напряжения на рабочее место при проведении ремонта или планового осмотра оборудования?;Не включать! Работают люди@True;Не открывать! Работают люди@False;Работа под напряжением! Повторно не включать!@False
Какие защитные меры применяются для защиты людей от поражения электрическим током при косвенном прикосновении в случае повреждения изоляции?;Защитное заземление@True;Ограждения и оболочки@False;Основная изоляция токоведущих частей@False;Любая из перечисленных мер в отдельности или в сочетании@False
Какие конструктивные элементы зданий и сооружений могут рассматриваться как естественные молниеприемники?;Металлические конструкции крыши (фермы, соединенная между собой стальная арматура)@False;Металлические элементы типа водосточных труб@False;Технологические металлические трубы и резервуары, выполненные из металла толщиной не менее 2,5 мм@False;Любые элементы из перечисленных@True
Какие мероприятия из перечисленных относятся к организационным? Дайте наиболее полный ответ.;Оформление работ нарядом, распоряжением или перечнем работ. выполняемых в порядке текущей эксплуатации@False;Допуск к работе и надзор во время работы@False;Оформление перерыва в работе, перевода на другое место, окончания работы@False;Оформление работ нарядом, распоряжением или перечнем работ, выполняемых в порядке текущей эксплуатации, допуск к работе, надзор во время работы, оформление перерыва в работе, перевода на другое место, окончания работы@True
Какие меры безопасности необходимо принимать для предотвращения ошибочного включения коммутационных аппаратов при отсутствии в схеме предохранителей во время проведения планового ремонта электроустановки? ;Обеспечить запирание рукояток или дверец шкафа@False;Обеспечить закрытие кнопок@False;Установить между контактами коммутационного аппарата изолирующие накладки@False;Можно принимать любые из перечисленных мер либо провести расшиновку или отсоединение кабеля, проводов от коммутационного аппарата либо от оборудования, на котором будут проводиться работы@True
Какие объекты относятся к обычным объектам по степени опасности поражения молнией?;Жилые и административные строения высотой более 60 м@False;Объекты, представляющие опасность для непосредственного окружения, социальной и физической окружающей среды@False;Здания высотой не более 60 м, предназначенные для торговли и промышленного производства, а также жилые и административные строения@True;Все объекты@False
Какие объекты относятся к специальным объектам по степени опасности поражения молнией?;Жилые и административные строения@False;Объекты, представляющие опасность для непосредственного окружения, социальной и физической окружающей среды@True;Здания высотой не более 60 м, предназначенные для торговли и промышленного производства@False;Все объекты@False
Какие обязанности возложены на ремонтный персонал?;Организация и обеспечение ремонтных работ в электроустановках@False;Организация и обеспечение технологического обслуживания и ремонта электрооборудования@False;Организация и обеспечение испытаний электрооборудования@False;Обеспечение технического обслуживания и ремонта, монтажа, наладки и испытания электрооборудования@True
Какие плакаты из перечисленных относятся к запрещающим?;Не включать! Работают люди.@True;Стой! Напряжение.@False;Не влезай! Убьет.@False;Осторожно! Электрическое напряжение.@False
Какие плакаты из перечисленных относятся к предупреждающим?;Не включать! Работают люди.@False;Работа под напряжением. Повторно не включать!@False;Заземлено.@False;Осторожно! Электрическое напряжение.@True
Какие плакаты из перечисленных относятся к указательным?;Не включать! Работают люди.@False;Работа под напряжением. Повторно не включать!@False;Заземлено.@True;Осторожно! Электрическое напряжение.@False
Какие помещения называются особо сырыми?;Помещения, в которых относительная влажность воздуха не превышает 60%@False;Помещения, в которых относительная влажность воздуха не превышает 75%@False;Помещения, в которых относительная влажность воздуха не превышает 90%@False;Помещения, в которых относительная влажность воздуха близка к 100%@True
Какие помещения называются сухими?;Помещения, в которых относительная влажность воздуха не превышает 60%@True;Помещения, в которых относительная влажность воздуха не превышает 75%@False;Помещения, в которых относительная влажность воздуха не превышает 90%@False;Помещения, в которых относительная влажность воздуха близка к 100%@False
Какие помещения называются сырыми?;Помещения, в которых относительная влажность воздуха не превышает 60%@False;Помещения, в которых относительная влажность воздуха превышает 75%@True;Помещения, в которых относительная влажность воздуха не превышает 90%@False;Помещения, в которых относительная влажность воздуха близка к 100%@False
Какие помещения относятся к влажным?;Помещения, в которых относительная влажность воздуха больше 60 %, но не превышает 75%@True;Помещения, в которых относительная влажность воздуха не превышает 75%@False;Помещения, в которых относительная влажность воздуха больше 75 %, но не превышает 90%@False;Помещения, в которых относительная влажность воздуха близка к 100%@False
Какие помещения относятся к особо опасным помещениям?;Помещения, характеризующиеся наличием сырости или токопроводящей пыли@False;Помещения, характеризующиеся наличием металлических, земляных, железобетонных и других токопроводящих полов@False;Помещения, характеризующиеся наличием высокой температуры@False;Любое из перечисленных помещений относится к особо опасным помещениям@True
Какие помещения относятся к помещениям с повышенной опасностью?;Помещения, характеризующиеся наличием сырости или токопроводящей пыли@False;Помещения, характеризующиеся наличием металлических, земляных, железобетонных и других токопроводящих полов@False;Помещения, характеризующиеся наличием высокой температуры@False;Помещения, характеризующиеся возможностью одновременного прикосновения человека к металлоконструкциям зданий, имеющим соединение с землей, технологическим аппаратам, механизмам и т.п., с одной стороны, и к металлическим корпусам электрооборудования (открытым проводящим частям) - с другой@False;Любое из перечисленных помещений относится к помещениям с повышенной опасностью@True
Какие помещения относятся к электропомещениям?;Помещения, в которых находится электрообудование с напряжением выше 220 В@False;Помещения или отгороженные (например, сетками) части помещения, в которых расположено электрооборудование, доступное только для квалифицированного обслуживающего персонала@True;Любые помещения с электрооборудованием мощностью выше 10 кВт@False;Помещения, в которых находятся любые электроустановки@False
Какие работы из перечисленных можно отнести к работам, выполняемым в порядке текущей эксплуатации в электроустановках напряжением до 1000 В?;Снятие и установка электросчетчиков, других приборов и средств измерений@True;Ремонт пусковой и коммутационной аппаратуры, установленной на щитках@False;Замена ламп и чистка светильников на высоте более 2,5 м@False;Любые из перечисленных работ@False
Какие работы относятся к работам со снятием напряжения?;Работы, при которых приняты меры, препятствующие подаче напряжение на токоведущие части к месту работы@False;Работы на токоведущих частях распределительного устройства, где щитовые приборы показывают отсутствие напряжения@False;Работы при отключенных автоматических выключателях@False;Работа, когда с токоведущих частей электроустановки, на которой будут проводиться работы, отключением коммутационных аппаратов, отсоединением шин, кабелей, проводов снято напряжение и приняты меры, препятствующие подаче напряжения на токоведущие части к месту работы@True
Какие работы по распоряжению в электроустановках напряжением выше 1000 В может проводить один работник, имеющий третью группу по электробезопасности?;Работы на электродвигателях и механической части вентиляторов и маслонасосов трансформаторов и компрессоров@True;Работы по мелкому ремонту@False;Неотложные работы продолжительностью не более трех часов@False;Снятие и установка электросчетчиков@False;Все перечисленные работы@False
Какие светильники рекомендуется применять для устройства  аварийного освещения?;Ртутные лампы@False;Люминесцентные лампы или с лампами накаливания@True;Ртутно-вольфрамовые лампы@False;Ксеноновые лампы@False
Какие средства защиты относятся к дополнительным изолирующим электрозащитным средствам для электроустановок напряжением до 1000 В?;Диэлектрические галоши, диэлектрические ковры и изолирующие подставки, изолирующие колпаки, покрытия и накладки, лестницы приставные, стремянки изолирующие стеклопластиковые, штанги для переноса и выравнивания потенциала@False;Диэлектрические галоши, диэлектрические ковры и изолирующие подставки, изолирующие колпаки, покрытия и накладки, лестницы приставные, стремянки изолирующие стеклопластиковые@True;Диэлектрические галоши, диэлектрические ковры и изолирующие подставки, изолирующие колпаки, покрытия и накладки, лестницы приставные, изолирующие штанги всех видов@False;Диэлектрические галоши, диэлектрические ковры и изолирующие подставки, изолирующие колпаки, покрытия и накладки, лестницы приставные, стремянки изолирующие стеклопластиковые, указатели напряжения@False
Какие средства защиты относятся к индивидуальным?;Средства защиты головы, глаз, лица, органов дыхания, рук, от падения с высоты, ручной изолирующий инструмент@False;Средства защиты головы, глаз, лица, органов дыхания, рук, ручной изолирующий инструмент, диэлектрические перчатки и боты@False;Средства защиты головы, глаз, лица, органов дыхания, рук, от падения с высоты, одежда специальная защитная@True;Средства защиты головы, глаз, лица, органов дыхания, рук, от падения с высоты, ручной изолирующий инструмент, одежда специальная защитная@False
Какие средства защиты относятся к основным изолирующим электрозащитным средствам для электроустановок напряжением до 1000 В?;Изолирующие штанги всех видов, изолирующие клещи, указатели напряжения, электроизмерительные клещи, диэлектрические перчатки, ручной изолирующий инструмент@True;Изолирующие штанги всех видов, изолирующие клещи, указатели напряжения, электроизмерительные колпаки и накладки, диэлектрические перчатки, ручной изолирующий инструмент@False;Изолирующие штанги всех видов, изолирующие клещи, указатели напряжения, диэлектрические перчатки, галоши и боты, ручной изолирующий инструмент@False;Изолирующие штанги всех видов, изолирующие клещи, колпаки, покрытия и накладки, указатели напряжения, диэлектрические перчатки, галоши и боты, ручной изолирующий инструмент@False
Какие средства защиты относятся к основным изолирующим электрозащитным средствам для электроустановок напряжением свыше 1000 В?;Изолирующие штанги всех видов, изолирующие клещи, указатели напряжения, электроизмерительные клещи, диэлектрические перчатки, ручной изолирующий инструмент@False;Изолирующие штанги всех видов, изолирующие клещи, указатели напряжения, электроизмерительные колпаки и накладки, диэлектрические перчатки, ручной изолирующий инструмент@False;Изолирующие штанги всех видов, изолирующие клещи, указатели напряжения@True;Изолирующие штанги всех видов, изолирующие клещи, колпаки, покрытия и накладки, указатели напряжения, диэлектрические перчатки, галоши и боты, ручной изолирующий инструмент@False
Какие существуют возрастные ограничения для присвоения III группы по электробезопасности?;Никаких ограничений по возрасту нет@False;Группа III может присваиваться работникам только по достижении 16-летнего возраста@False;Группа III может присваиваться работникам только по достижении 18-летнего возраста@True;Группа III может присваиваться работникам только по достижении 21-летнего возраста@False
"Какие существуют основные ""петли тока"" - пути для прохождения электрического тока через тело человека?";Рука-рука, рука-нога, рука-голова, нога-нога, голова-нога@True;Рука-рука, рука-нога, рука-голова, нога-нога, голова-туловище@False;Рука-рука, рука-нога, рука-голова, нога-нога, голова-нога, голова-туловище@False;Рука-рука, левая рука-нога, левая рука-голова, нога-нога, голова-нога@False
Какие требования безопасности предъявляются ПУЭ к ограждающим и закрывающим устройствам?;Должны быть выполнены так, чтобы снимать или открывать их можно было только с помощью ключей или инструментов@True;Они должны иметь свободный доступ@False;Особых требований правилами не предусматривается@False;Данные устройства должны быть выполнены без возможности их съема или открытия@False
Какие требования предъявляются к внешнему виду диэлектрических ковров?;Они должны быть с ровной поверхностью, разноцветные@False;Они должны быть с рифленой лицевой поверхностью, разноцветные@False;Они должны быть с рифленой лицевой поверхностью, одноцветные@True;Особых требований не предусмотрено@False
Какие электроприемники в отношении обеспечения надежности электроснабжения относятся к электроприемникам второй категории?;Электроприемники, перерыв электроснабжения которых может повлечь за собой: опасность для жизни людей, угрозу для безопасности государства, значительный материальный ущерб, расстройство сложного технологического процесса, нарушение функционирования особо важных элементов коммунального хозяйства, объектов связи и телевидения@False;Электроприемники, перерыв электроснабжения которых приводит к массовому недоотпуску продукции, массовым простоям рабочих, механизмов и промышленного транспорта, нарушению нормальной деятельности значительного количества городских и сельских жителей@True;Электроприемники, бесперебойная работа которых необходима для безаварийного останова производства в целях предотвращения угрозы жизни людей, взрывов и пожаров@False
Какие электроприемники в отношении обеспечения надежности электроснабжения относятся к электроприемникам первой категории?;Электроприемники, перерыв электроснабжения которых может повлечь за собой: опасность для жизни людей, угрозу для безопасности государства, значительный материальный ущерб, расстройство сложного технологического процесса, нарушение функционирования особо важных элементов коммунального хозяйства, объектов связи и телевидения@True;Электроприемники, перерыв электроснабжения которых приводит к массовому недоотпуску продукции, массовым простоям рабочих, механизмов и промышленного транспорта, нарушению нормальной деятельности значительного количества городских и сельских жителей@False;Электроприемники, бесперебойная работа которых необходима для безаварийного останова производства в целях предотвращения угрозы жизни людей, взрывов и пожаров@False
Каким образом диэлектрические перчатки проверяются на наличие проколов?;Путем скручивания их в сторону пальцев@True;Путем растяжки и визуального осмотра@False;Путем погружения в воду и проверки отсутствия появления пузырьков воздуха@False;Путем проведения электрических испытаний@False
Каким образом осуществляется подача напряжения на электроустановки, допущенные в установленные порядке в эксплуатацию?;После получения разрешения от органов Ростехнадзора@False;На основании распоряжения руководителя Потребителя@False;После получения разрешения от органов Ростехнадзора и наличия договора с энергоснабжающей организацией@True;После согласования с органами Ростехнадзора@False
Каким образом производится присоединение заземляющих проводников к заземлителю и заземляющим конструкциям?;Сваркой@True;Болтовым соединением@False;Любым подручным способом@False
Каким образом работник при непосредственном использовании средств защиты может определить, что электрозащитные средства прошли эксплуатационные испытания и пригодны для применения?;По протоколам эксплуатационных испытаний@False;По штампу или маркировке на средстве защиты@True;По бирке, которая приклеивается к средству защиты@False;По внешнему виду средств защиты@False
"Каким образом следует передвигаться в зоне ""шагового"" напряжения?";Также как по обычной земле@False;Гусиным шагом@True;Большими шагами очень быстро@False;Не имеет значения как идти@False
Каким образом члены бригады, имеющие третью группу по электробезопасности, могут осуществлять временный уход с рабочего места в РУ?;Самостоятельно, в любое время@False;С разрешения производителя работ, самостоятельно@True;С разрешения производителя работ, в сопровождении работника, имеющего IV группу по электробезопасности@False;С разрешения производителя работ, в сопровождении работника, имеющего такую же группу по электробезопасности@False
Какова периодичность визуального осмотра видимой части заземляющего устройства?;По графику, но не реже одного раза в месяц@False;По графику, но не реже одного раза в три месяца@False;По графику, но не реже одного раза в шесть месяцев@True;По графику, но не реже одного раза в девять месяцев@False;По графику, но не реже одного раза в год@False
Какова периодичность осмотров заземляющих устройств с выборочным  вскрытием грунта?;По графику, но не реже одного раза в двенадцать лет@True;По графику, но не реже одного раза в три года@False;По графику, но не реже одного раза в шесть лет@False;По графику, но не реже одного раза в девять лет@False;По графику, но не реже одного раза в год@False
Какое буквенное и цветовое обозначение должны иметь проводники защитного заземления в электроустановках?;Должны иметь буквенное обозначение РЕN и голубой цвет по всей длине@False;Должны иметь буквенное обозначение PE и цветовое обозначение чередующимися продольными или поперечными полосами одинаковой ширины (для шин от 15 до 100 мм) желтого и зеленого цветов@True;Должны иметь буквенное обозначение PEN и цветовое обозначение: голубой цвет по всей длине и желто-зеленые полосы на концах@False;Обозначаются буквой N и голубым цветом@False
Какое буквенное и цветовое обозначение должны иметь совмещенные нулевые защитные и нулевые рабочие проводники?;Должны иметь буквенное обозначение РЕN и голубой цвет по всей длине@False;Должны иметь буквенное обозначение PE и цветовое обозначение чередующимися продольными или поперечными полосами одинаковой ширины (для шин от 15 до 100 мм) желтого и зеленого цветов@False;Должны иметь буквенное обозначение PEN и цветовое обозначение: голубой цвет по всей длине и желто-зеленые полосы на концах@True;Обозначаются буквой N и голубым цветом@False
Какое количество ламп накаливания каждая мощностью до 60 Вт допускается присоединять на однофазные группы освещения лестниц?;Не более 45 ламп накаливания@False;Не более 60 ламп накаливания@True;Не более 75 ламп накаливания@False;Не более 100 ламп накаливания@False
Какое количество люминесцентных ламп каждая мощностью до 20 Вт допускается присоединять на одну фазу для питания световых потолков?;Не более 45 ламп@False;Не более 60 ламп@False;Не более 75 ламп@False;Не более 100 ламп@True
Какое количество люминесцентных ламп каждая мощностью до 40 Вт допускается присоединять на одну фазу для питания световых потолков?;Не более 45 ламп@False;Не более 60 ламп@False;Не более 75 ламп@True;Не более 100 ламп@False
Какое количество люминесцентных ламп каждая мощностью до 80 Вт допускается присоединять на одну фазу для питания световых потолков?;Не более 45 ламп@False;Не более 60 ламп@True;Не более 75 ламп@False;Не более 100 ламп@False
Какое максимальное значение напряжения должно применяться для питания переносных (ручных) светильников, применяемых в помещениях с повышенной опасностью?;Не выше 12 В@False;Не выше 42 В@False;Не выше 50 В@True;Не выше 127 В@False
Какое максимальное напряжение может быть в распределительных электрических сетях, к которым присоединяются источники сварочного тока?;Не выше 220 В@False;Не выше 380 В@False;Не выше 450 В@False;Не выше 660 В@True
Какое специфическое действие на организм человека оказывает электрический ток?;Термическое (тепловое) действие@False;Механическое действие@False;Электролитическое (биохимическое) действие@False;Все перечисленные действия относятся к специфическим@True
Какой документ должен быть на руках у электротехнического персонала для проведения измерений мегаомметром в электроустановках напряжением до 1000 В?;Распоряжение@True;Наряд@False;Приказ@False;План проведения работ@False
Какой инструктаж должен пройти электротехнический персонал перед началом работ по распоряжению?;Вводный@False;Первичный на рабочем месте@False;Целевой@True;Повторный@False
Какой минимальный стаж работы должен быть у человека с высшим электротехническим образованием для перехода с третьей группы электробезопасности на четвертую?;3 месяца в предыдущей группе@False;2 месяца в предыдущей группе@True;6 месяцев в предыдущей группе@False;1 месяц в предыдущей группе@False;Не нормируется@False
Какой персонал относится к неэлектротехническому?;Персонал, осуществляющий оперативное управление и обслуживание электроустановок (осмотр, оперативные переключения, подготовку рабочего места, допуск и надзор за работающими, выполнение работ в порядке текущей эксплуатации)@False;Ремонтный персонал, специально обученный и подготовленный для оперативного обслуживания в утвержденном объеме закрепленных за ним электроустановок@False;Персонал, обеспечивающий техническое обслуживание и ремонт, монтаж, наладку и испытание электрооборудования@False;Персонал, не попадающий под определение  «электротехнического», «электротехнологического» персонала@True;Персонал, на которого возложены обязанности по организации технического и оперативного обслуживания, проведения ремонтных, монтажных и наладочных работ в электроустановках@False
"Какой фон должен быть у предупреждающего знака ""Осторожно! Электрическое напряжение"", который наносится посредством трафарета на железобетонную опору ВЛ?";Белый@False;Желтый@False;Фоном служит цвет поверхности бетона@True
"Какой фон должен быть у предупреждающего знака ""Осторожно! Электрическое напряжение"", который укрепляется на наружной двери трансформаторов?";Белый@False;Желтый@True;Фоном служит цвет двери трансформатора@False
Какой электрический ток опаснее для человека: постоянный или переменный?;Постоянный ток@False;Переменный ток@True;Любое воздействие опасно@False
